"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"ENSG00000145901",3317.70426787686,1.27910755271102,0.118767809995454,10.7698167774583,4.77951383563924e-27,4.83460594168363e-25,"TNIP1"
"ENSG00000074657",508.964283565251,-1.28614866608588,0.119587276249813,-10.7548955576107,5.61976459389301e-27,5.64147732073305e-25,"ZNF532"
"ENSG00000117525",1386.30724555374,1.30269187398782,0.121611390291337,10.7119232077443,8.94832661633494e-27,8.91535909722213e-25,"F3"
"ENSG00000106351",1504.32481026733,1.07985669245701,0.100933298491108,10.6987159698555,1.03198302208326e-26,1.02050798698696e-24,"AGFG2"
"ENSG00000134013",1481.18783407277,1.24770301737753,0.117246751412065,10.6416851840309,1.90649599845139e-26,1.8713317389244e-24,"LOXL2"
"ENSG00000072952",195.320763805837,7.92332983324417,0.744985840624964,10.6355441958432,2.03636441288295e-26,1.98410770846412e-24,"IRAG1"
"ENSG00000135842",621.01040091416,-1.28643916123544,0.120996845056093,-10.6320058232846,2.11513667623558e-26,2.04581577348888e-24,"NIBAN1"
"ENSG00000116478",2889.04632512609,0.910940997634318,0.0857863519022051,10.6187170503855,2.43889941889872e-26,2.34187363766862e-24,"HDAC1"
"ENSG00000067798",608.771726569783,-1.56011387893316,0.146970469945418,-10.6151520064715,2.5338168349119e-26,2.41551128628903e-24,"NAV3"
"ENSG00000115318",403.195378622602,1.7199025466017,0.162897469829741,10.5581906729388,4.65548554043683e-26,4.40641706402346e-24,"LOXL3"
"ENSG00000186815",728.181879358251,1.49517138981277,0.141944901300838,10.5334631685283,6.05644244663698e-26,5.69176729506288e-24,"TPCN1"
"ENSG00000081923",625.599349459846,1.53046536712075,0.145383271900387,10.5271077415935,6.47947925638391e-26,6.04644926946079e-24,"ATP8B1"
"ENSG00000221968",612.474559292793,1.52952906811981,0.145466636210178,10.5146383251062,7.39640442232298e-26,6.85382902099313e-24,"FADS3"
"ENSG00000010361",119.585759967766,-3.22425640962573,0.306960587329749,-10.5038123547832,8.29604447985983e-26,7.63408926407102e-24,"FUZ"
"ENSG00000151414",2716.42881520654,1.06729218261624,0.101711270270998,10.4933522093723,9.26806443585701e-26,8.46973254065802e-24,"NEK7"
"ENSG00000147119",238.852658404758,2.12612991995859,0.202949019455125,10.4761773457531,1.11145883582135e-25,1.00876308448415e-23,"CHST7"
"ENSG00000114353",4425.76828612017,0.863926079710072,0.0826281389917435,10.4555916453159,1.38133930479901e-25,1.2451787161831e-23,"GNAI2"
"ENSG00000126698",8246.07703993106,0.743571413442386,0.0711386705178365,10.4524221218887,1.42830101414983e-25,1.2788119417905e-23,"DNAJC8"
"ENSG00000099260",460.316808753344,1.97668881858913,0.189528203075347,10.4295233454163,1.8179796394145e-25,1.61678175851554e-23,"PALMD"
"ENSG00000170242",2514.31735700256,0.907708490590908,0.0873635829110245,10.3900098913682,2.75324554371965e-25,2.43221711332194e-23,"USP47"
"ENSG00000256229",144.525434180631,2.9581446577015,0.285003574168794,10.3793247727818,3.07945457191916e-25,2.70237433990071e-23,"ZNF486"
"ENSG00000141753",150.858478098322,-2.5646769228685,0.247266855390879,-10.3721015047256,3.32138827852186e-25,2.89550763675613e-23,"IGFBP4"
"ENSG00000007038",230.612500981749,-2.01528058872809,0.194435792545998,-10.3647613556096,3.58652590848846e-25,3.10621273290069e-23,"PRSS21"
"ENSG00000134243",3230.34660462712,1.14370522224002,0.110445461722256,10.3553844984248,3.95593867082094e-25,3.40390541084729e-23,"SORT1"
"ENSG00000170689",163.873485448347,-2.07830000016731,0.200915809443544,-10.3441337240875,4.44921805359882e-25,3.80365086633793e-23,"HOXB9"
"ENSG00000120539",962.485196162501,1.21842553969239,0.118831601628211,10.253379765969,1.14276361462393e-24,9.70689785729594e-23,"MASTL"
"ENSG00000213654",77.6698878723102,-3.97585829557159,0.38935033547657,-10.2115188643798,1.76086550287247e-24,1.48619291583204e-22,"GPSM3"
"ENSG00000003436",4367.34682919672,0.843115723610042,0.0825798254082829,10.2097058142421,1.79407956803778e-24,1.504642301017e-22,"TFPI"
"ENSG00000097021",2012.39155931452,1.15531849503876,0.11330693811153,10.1963614434763,2.05840016602068e-24,1.71282603910372e-22,"ACOT7"
"ENSG00000112715",1295.880121896,0.961150808923854,0.0942683474211173,10.1959017551266,2.06816214818954e-24,1.71282603910372e-22,"VEGFA"
"ENSG00000100867",133.377687048654,2.70157144228985,0.265073889202031,10.1917674744298,2.1580448451565e-24,1.77616473560054e-22,"DHRS2"
"ENSG00000182287",1940.42545008074,1.17497513944091,0.115576852637597,10.1661804472662,2.80700958481119e-24,2.2960298770576e-22,"AP1S2"
"ENSG00000166086",171.646286232981,-8.76288782742512,0.86221551295822,-10.1632221825377,2.89352431015596e-24,2.35227549901084e-22,"JAM3"
"ENSG00000035862",1366.83398940583,1.05374131260853,0.103711388867737,10.1603239925017,2.980842337816e-24,2.4084842572195e-22,"TIMP2"
"ENSG00000060762",993.898163573332,-1.11889166926531,0.110267469760455,-10.147069409464,3.41463347452144e-24,2.74226110126567e-22,"MPC1"
"ENSG00000185608",2076.38269876465,-1.3105773186309,0.129316489809041,-10.1346496534681,3.87761063192452e-24,3.09531436648384e-22,"MRPL40"
"ENSG00000185989",557.585532258565,1.33615771066844,0.131907169780577,10.1295305849644,4.08606273072555e-24,3.24218067334397e-22,"RASA3"
"ENSG00000135404",4191.06164013563,0.694607701423473,0.0686515437798582,10.1178744596165,4.60303063335189e-24,3.6306404120563e-22,"CD63"
"ENSG00000117228",1560.65805862283,1.18367525347058,0.117203470991611,10.0993191025487,5.56270699089017e-24,4.36162309682164e-22,"GBP1"
"ENSG00000051108",1432.20340185651,-0.93339223181257,0.0926039576277887,-10.0793989341604,6.81416784441896e-24,5.31144341802327e-22,"HERPUD1"
"ENSG00000197712",218.86836600369,2.03771806715177,0.202378337187418,10.0688546781798,7.58562578285266e-24,5.87819457594039e-22,"FAM114A1"
"ENSG00000166710",22015.8894351962,1.04072596551022,0.103562932811046,10.0492129496667,9.2604047131559e-24,7.13428039849004e-22,"B2M"
"ENSG00000133216",685.149040566226,1.16918676842662,0.11654916246383,10.0317045932395,1.10590651864545e-23,8.47073253096578e-22,"EPHB2"
"ENSG00000169946",113.108343965745,-2.74710681435807,0.274830012433548,-9.99565800704646,1.59226205483758e-23,1.21258991314096e-21,"ZFPM2"
"ENSG00000188153",197.176550911345,2.53698426320807,0.254505010829971,9.96830771596467,2.09772486630715e-23,1.58839726876777e-21,"COL4A5"
"ENSG00000282826",383.880030684225,1.66239269134067,0.166884695450341,9.9613250145837,2.25043151319643e-23,1.69434477166852e-21,"FRG1CP"
"ENSG00000107897",695.368148847072,1.08313820247984,0.10885801399298,9.95000884867963,2.52160791128219e-23,1.88778680409041e-21,"ACBD5"
"ENSG00000157168",679.409165715612,1.73147224250627,0.174725551900552,9.90966818345932,3.77899126539587e-23,2.81322546391914e-21,"NRG1"
"ENSG00000151012",6481.40198077382,-0.961495777267052,0.0977651253857667,-9.83475215188578,7.97637654372011e-23,5.90474668049359e-21,"SLC7A11"
"ENSG00000139269",57.094984458265,-5.01855013203648,0.510552295890547,-9.82964952352768,8.39102816063214e-23,6.17719523091869e-21,"INHBE"
"ENSG00000101670",158.324662070217,3.11626350518917,0.317101817767704,9.82732778741751,8.58669391364888e-23,6.28631387015256e-21,"LIPG"
"ENSG00000153162",244.014004071073,-1.7153994741254,0.174706060674207,-9.81877484676554,9.34726030129206e-23,6.8055245193638e-21,"BMP6"
"ENSG00000057252",1787.33570886493,0.965867928995221,0.0984954946164234,9.80621431220438,1.05865911262365e-22,7.66573327944047e-21,"SOAT1"
"ENSG00000232677",520.812321940514,1.29056102001799,0.132043039733065,9.77379059605835,1.45889243979326e-22,1.05064041954894e-20,"LINC00665"
"ENSG00000177383",598.725286433939,-1.25789764561941,0.128713152786588,-9.77287571927523,1.47213052076285e-22,1.05444332597992e-20,"MAGEF1"
"ENSG00000198879",260.205248217957,-11.807433635824,1.20886404257016,-9.76737930819776,1.55420270196184e-22,1.10724408622023e-20,"SFMBT2"
"ENSG00000119403",2260.45975165413,-0.736803155940334,0.0758273421461848,-9.71685324958217,2.55557140883938e-22,1.81090249938667e-20,"PHF19"
"ENSG00000090273",3144.42011257496,0.678389574967291,0.0700119344651094,9.68962763491942,3.33743214806205e-22,2.35235709542395e-20,"NUDC"
"ENSG00000111799",2714.77695969371,0.961381559613801,0.0994984574192603,9.66227602467033,4.36066220521285e-22,3.05730872387701e-20,"COL12A1"
"ENSG00000116133",5720.47232864306,0.682006665723517,0.0705983988460005,9.66037016237733,4.44255796884018e-22,3.09833345500533e-20,"DHCR24"
"ENSG00000002330",1089.70146188296,1.13712204779052,0.117742423395323,9.65770887840993,4.55946679911601e-22,3.16321961021394e-20,"BAD"
